"","title","budget","revenue","profit","profitable","profitable.ind","release_date","release_year","genre","runtime","vote_average","vote_count","event"
"1022","American Outlaws",35000000,13678913,-21321087,"Not Profitable",0,2001-08-17,2001,"Action/Adventure",94,5.7,55,"summer"
"1023","The Young Victoria",35000000,27409889,-7590111,"Not Profitable",0,2009-03-04,2009,"Drama",105,7,322,"na"
"1024","Whiteout",40000000,12206028,-27793972,"Not Profitable",0,2009-09-09,2009,"Action/Adventure",101,5.3,220,"na"
"1025","The Tree of Life",32000000,54674226,22674226,"Profitable",1,2011-05-18,2011,"Drama",139,6.5,987,"na"
"1026","Sabotage",35000000,17508518,-17491482,"Not Profitable",0,2014-03-28,2014,"Drama",110,5.5,555,"na"
"1027","The Order",35000000,11560806,-23439194,"Not Profitable",0,2003-09-05,2003,"Drama",102,4.8,91,"na"
"1028","Punisher: War Zone",20500000,10089373,-10410627,"Not Profitable",0,2008-12-05,2008,"Action/Adventure",102,5.6,294,"holiday"
"1029","Zoom",35000000,12506188,-22493812,"Not Profitable",0,2006-08-11,2006,"Comedy",83,4.9,135,"summer"
"1030","The Walk",35000000,61181942,26181942,"Profitable",1,2015-09-30,2015,"Drama",123,6.9,1121,"na"
"1031","A Good Year",35000000,42064105,7064105,"Profitable",1,2006-09-09,2006,"Drama",118,6.5,357,"na"
"1032","Femme Fatale",35000000,16838910,-18161090,"Not Profitable",0,2002-11-06,2002,"Romance",114,6.2,142,"holiday"
"1033","The Maze Runner",34000000,348319861,314319861,"Profitable",1,2014-09-10,2014,"Action/Adventure",113,7,5371,"na"
"1034","Unfinished Business",35000000,14431253,-20568747,"Not Profitable",0,2015-03-05,2015,"Comedy",91,5,320,"na"
"1035","The Fountain",35000000,15304890,-19695110,"Not Profitable",0,2006-09-06,2006,"Drama",96,6.8,827,"na"
"1036","Stolen",35000000,2106557,-32893443,"Not Profitable",0,2012-05-17,2012,"Drama",96,5.1,344,"na"
"1037","The Longest Ride",34000000,63013281,29013281,"Profitable",1,2015-04-09,2015,"Drama",128,7.3,1064,"na"
"1038","Mandela: Long Walk to Freedom",35000000,27330000,-7670000,"Not Profitable",0,2013-12-06,2013,"Drama",141,6.5,224,"holiday"
"1039","Exit Wounds",50000000,79958599,29958599,"Profitable",1,2001-03-13,2001,"Action/Adventure",101,5.3,110,"na"
"1040","Big Momma's House",30000000,173959438,143959438,"Profitable",1,2000-05-31,2000,"Comedy",98,5.6,506,"na"
"1041","The Darkest Hour",30000000,64626786,34626786,"Profitable",1,2011-12-22,2011,"Action/Adventure",89,4.8,469,"holiday"
"1042","Step Up Revolution",33000000,140470746,107470746,"Profitable",1,2012-07-26,2012,"Drama",99,6.7,663,"summer"
"1043","Snakes on a Plane",33000000,62022014,29022014,"Profitable",1,2006-08-06,2006,"Action/Adventure",105,5.1,497,"summer"
"1044","The Punisher",33000000,54700105,21700105,"Profitable",1,2004-04-15,2004,"Drama",124,6.1,766,"na"
"1045","Goal!: The Dream Begins",30000000,27610873,-2389127,"Not Profitable",0,2005-06-06,2005,"Drama",118,6.6,238,"summer"
"1046","Safe",30000000,40346186,10346186,"Profitable",1,2012-04-16,2012,"Action/Adventure",94,6.3,799,"na"
"1047","Doomsday",30000000,22211426,-7788574,"Not Profitable",0,2008-03-14,2008,"Action/Adventure",108,5.8,363,"na"
"1048","The Reader",32000000,113019290,81019290,"Profitable",1,2008-12-10,2008,"Drama",124,7.2,813,"holiday"
"1049","Wanderlust",35000000,24159934,-10840066,"Not Profitable",0,2012-02-23,2012,"Comedy",98,5.3,394,"na"
"1050","Elf",32000000,173398518,141398518,"Profitable",1,2003-10-09,2003,"Comedy",97,6.4,987,"na"
"1051","Nacho Libre",32000000,80197993,48197993,"Profitable",1,2006-06-16,2006,"Comedy",92,5.6,359,"summer"
"1052","Bridesmaids",32500000,288383523,255883523,"Profitable",1,2011-04-28,2011,"Comedy",125,6.5,1661,"na"
"1053","This Is the End",32000000,126041322,94041322,"Profitable",1,2013-06-12,2013,"Comedy",107,6.3,2359,"summer"
"1054","Men of Honor",32000000,48814909,16814909,"Profitable",1,2000-09-13,2000,"Drama",129,7,544,"na"
"1055","Takers",32000000,69055695,37055695,"Profitable",1,2010-08-26,2010,"Drama",107,6,394,"summer"
"1056","The Big Wedding",35000000,21819348,-13180652,"Not Profitable",0,2013-04-25,2013,"Comedy",90,5.7,414,"na"
"1057","Big Mommas: Like Father, Like Son",32000000,83615414,51615414,"Profitable",1,2011-02-16,2011,"Comedy",107,5.3,313,"na"
"1058","Source Code",32000000,147332697,115332697,"Profitable",1,2011-03-30,2011,"Sci-fi/Fantasy",93,7.1,2699,"na"
"1059","The Number 23",30000000,77566815,47566815,"Profitable",1,2007-02-23,2007,"Drama",101,6.3,1018,"na"
"1060","The Young and Prodigious T.S. Spivet",33000000,9494789,-23505211,"Not Profitable",0,2013-10-16,2013,"Drama",105,6.7,232,"na"
"1061","A History of Violence",32000000,60740827,28740827,"Profitable",1,2005-09-23,2005,"Drama",96,6.9,832,"na"
"1062","Transporter 2",32000000,85167639,53167639,"Profitable",1,2005-08-02,2005,"Action/Adventure",87,6.2,1061,"summer"
"1063","Laws of Attraction",28000000,30016165,2016165,"Profitable",1,2004-04-04,2004,"Comedy",90,5.6,104,"na"
"1064","Repo Men",32000000,18409891,-13590109,"Not Profitable",0,2010-03-18,2010,"Action/Adventure",111,6.2,620,"na"
"1065","The Incredible Burt Wonderstone",30000000,27437881,-2562119,"Not Profitable",0,2013-03-14,2013,"Comedy",100,5.3,724,"na"
"1066","The Good German",32000000,5914908,-26085092,"Not Profitable",0,2006-12-08,2006,"Drama",108,5.9,86,"holiday"
"1067","Going the Distance",32000000,42045846,10045846,"Profitable",1,2010-09-01,2010,"Drama",102,6,262,"na"
"1068","Criminal",31500000,14708696,-16791304,"Not Profitable",0,2016-04-14,2016,"Action/Adventure",113,5.7,557,"na"
"1069","Flight",31000000,161772375,130772375,"Profitable",1,2012-11-02,2012,"Drama",138,6.5,2415,"holiday"
"1070","The Grand Budapest Hotel",30000000,174600318,144600318,"Profitable",1,2014-02-26,2014,"Drama",99,8,4519,"na"
"1071","Hearts in Atlantis",31000000,24185781,-6814219,"Not Profitable",0,2001-09-07,2001,"Drama",101,6.4,131,"na"
"1072","Frequency",31000000,68106245,37106245,"Profitable",1,2000-04-28,2000,"Drama",118,7,462,"na"
"1073","Vacation",31000000,104384188,73384188,"Profitable",1,2015-07-28,2015,"Comedy",99,6.2,1195,"summer"
"1074","Chicago",45000000,306776732,261776732,"Profitable",1,2002-12-26,2002,"Drama",113,6.9,677,"holiday"
"1075","American Pie 2",30000000,287553595,257553595,"Profitable",1,2001-08-10,2001,"Comedy",108,6,1344,"summer"
"1076","The Vow",30000000,196114570,166114570,"Profitable",1,2012-02-05,2012,"Drama",104,7,1293,"na"
"1077","Extraordinary Measures",31000000,15134293,-15865707,"Not Profitable",0,2010-01-21,2010,"Drama",105,6,89,"na"
"1078","Remember the Titans",30000000,136706683,106706683,"Profitable",1,2000-09-29,2000,"Drama",113,7.4,821,"na"
"1079","The Butler",25000000,115922175,90922175,"Profitable",1,2013-08-16,2013,"Drama",132,7.2,1101,"summer"
"1080","DodgeBall: A True Underdog Story",20000000,167722310,147722310,"Profitable",1,2004-06-18,2004,"Comedy",92,6.2,981,"summer"
"1081","The Princess Diaries",37000000,165335153,128335153,"Profitable",1,2001-08-03,2001,"Comedy",115,6.5,1023,"summer"
"1082","District 9",30000000,210819611,180819611,"Profitable",1,2009-08-05,2009,"Sci-fi/Fantasy",112,7.3,3382,"summer"
"1083","The SpongeBob SquarePants Movie",30000000,140161792,110161792,"Profitable",1,2004-11-14,2004,"Comedy",87,6.7,574,"holiday"
"1084","Mystic River",25000000,156822020,131822020,"Profitable",1,2003-10-07,2003,"Drama",138,7.6,1422,"na"
"1085","Million Dollar Baby",30000000,216763646,186763646,"Profitable",1,2004-12-15,2004,"Drama",132,7.7,2439,"holiday"
"1086","The Notebook",29000000,115603229,86603229,"Profitable",1,2004-06-25,2004,"Drama",123,7.7,3067,"summer"
"1087","27 Dresses",30000000,160259319,130259319,"Profitable",1,2008-01-10,2008,"Comedy",111,6.1,978,"na"
"1088","Hannah Montana: The Movie",35000000,155545279,120545279,"Profitable",1,2009-04-10,2009,"Drama",102,6,449,"na"
"1089","Up in the Air",25000000,163670000,138670000,"Profitable",1,2009-09-05,2009,"Drama",109,6.7,1205,"na"
"1090","About Schmidt",30000000,105834556,75834556,"Profitable",1,2002-12-13,2002,"Drama",125,6.7,362,"holiday"
"1091","Warm Bodies",35000000,116980662,81980662,"Profitable",1,2013-01-31,2013,"Comedy",97,6.4,2652,"na"
"1092","Looper",30000000,47042000,17042000,"Profitable",1,2012-09-26,2012,"Action/Adventure",118,6.6,4697,"na"
"1093","Hope Springs",30000000,114281051,84281051,"Profitable",1,2012-08-07,2012,"Drama",100,5.8,284,"summer"
"1094","Forgetting Sarah Marshall",30000000,105173115,75173115,"Profitable",1,2008-04-17,2008,"Drama",111,6.4,1172,"na"
"1095","Four Brothers",45000000,92374674,47374674,"Profitable",1,2005-08-11,2005,"Action/Adventure",109,6.7,607,"summer"
"1096","Baby Mama",30000000,63833449,33833449,"Profitable",1,2008-04-23,2008,"Comedy",99,5.8,205,"na"
"1097","Bride Wars",30000000,114663461,84663461,"Profitable",1,2009-01-09,2009,"Comedy",89,5.9,856,"na"
"1098","Without a Paddle",19000000,69631118,50631118,"Profitable",1,2004-08-20,2004,"Comedy",95,5.3,214,"summer"
"1099","13 Going on 30",37000000,96455697,59455697,"Profitable",1,2004-04-13,2004,"Comedy",98,6.3,1204,"na"
"1100","Midnight in Paris",30000000,151119219,121119219,"Profitable",1,2011-05-11,2011,"Comedy",94,7.4,1990,"na"
"1101","Blow",53000000,83282296,30282296,"Profitable",1,2001-04-04,2001,"Drama",124,7.4,1317,"na"
"1102","The Curse of the Were-Rabbit",30000000,192452832,162452832,"Profitable",1,2005-09-04,2005,"Comedy",85,6.8,643,"na"
"1103","P.S. I Love You",30000000,156835339,126835339,"Profitable",1,2007-11-15,2007,"Drama",126,6.9,977,"holiday"
"1104","Racing Stripes",30000000,93772522,63772522,"Profitable",1,2005-01-06,2005,"Comedy",102,5.1,123,"na"
"1105","Atonement",30000000,129266061,99266061,"Profitable",1,2007-08-29,2007,"Drama",123,7.4,1049,"summer"
"1106","The Three Stooges",30000000,54819301,24819301,"Profitable",1,2012-04-13,2012,"Comedy",92,4.9,140,"na"
"1107","Corpse Bride",40000000,117195061,77195061,"Profitable",1,2005-09-09,2005,"Romance",77,7.2,1894,"na"
"1108","Sicario",30000000,84025816,54025816,"Profitable",1,2015-09-17,2015,"Drama",121,7.2,2416,"na"
"1109","Southpaw",30000000,91709827,61709827,"Profitable",1,2015-06-15,2015,"Drama",123,7.3,2067,"summer"
"1110","Drag Me to Hell",30000000,90810892,60810892,"Profitable",1,2009-03-15,2009,"Thriller/Mystery/Horror",99,6.2,966,"na"
"1111","The Age of Adaline",25000000,65663276,40663276,"Profitable",1,2015-04-16,2015,"Drama",112,7.4,1990,"na"
"1112","Step Up 3D",30000000,159291809,129291809,"Profitable",1,2010-08-04,2010,"Drama",107,6.6,582,"summer"
"1113","Blue Crush",25000000,51842679,26842679,"Profitable",1,2002-08-08,2002,"Action/Adventure",104,5.6,159,"summer"
"1114","Stranger Than Fiction",30000000,53653224,23653224,"Profitable",1,2006-09-09,2006,"Drama",113,7.1,721,"na"
"1115","30 Days of Night",30000000,75505973,45505973,"Profitable",1,2007-10-17,2007,"Thriller/Mystery/Horror",113,6.2,767,"na"
"1116","The Cabin in the Woods",30000000,66486080,36486080,"Profitable",1,2012-04-12,2012,"Thriller/Mystery/Horror",95,6.5,2263,"na"
"1117","Meet the Spartans",30000000,84646831,54646831,"Profitable",1,2008-01-24,2008,"Comedy",84,3.7,359,"na"
"1118","Hanna",30000000,63782078,33782078,"Profitable",1,2011-04-07,2011,"Action/Adventure",111,6.5,1263,"na"
"1119","Larry Crowne",30000000,36160375,6160375,"Profitable",1,2011-06-30,2011,"Drama",98,5.7,359,"summer"
"1120","Carrie",30000000,82394288,52394288,"Profitable",1,2013-10-16,2013,"Drama",100,5.8,1463,"na"
"1121","Take the Lead",30000000,34742066,4742066,"Profitable",1,2006-03-17,2006,"Music",108,6.6,162,"na"
"1122","Gridiron Gang",30000000,41480851,11480851,"Profitable",1,2006-09-15,2006,"Drama",125,6.5,206,"na"
"1123","9",30000000,48428063,18428063,"Profitable",1,2009-08-19,2009,"Action/Adventure",79,6.6,1262,"summer"
"1124","Side Effects",30000000,63372757,33372757,"Profitable",1,2013-02-07,2013,"Drama",106,6.4,1323,"na"
"1125","Winnie the Pooh",30000000,14460000,-15540000,"Not Profitable",0,2011-04-13,2011,"Family/Animation",63,6.8,258,"na"
"1126","Dumb and Dumberer: When Harry Met Lloyd",19000000,39267515,20267515,"Profitable",1,2003-06-13,2003,"Comedy",85,4.1,210,"summer"
"1127","Sanctum",30000000,108609310,78609310,"Profitable",1,2011-02-03,2011,"Action/Adventure",108,5.8,339,"na"
"1128","Little Black Book",35000000,22034832,-12965168,"Not Profitable",0,2004-08-06,2004,"Drama",111,5.2,112,"summer"
"1129","The Five-Year Engagement",30000000,53909751,23909751,"Profitable",1,2012-04-27,2012,"Comedy",124,5.7,457,"na"
"1130","Mr. 3000",30000000,21800302,-8199698,"Not Profitable",0,2004-06-15,2004,"Drama",104,5,66,"summer"
"1131","The Next Three Days",30000000,51148651,21148651,"Profitable",1,2010-11-18,2010,"Drama",133,6.9,905,"holiday"
"1132","Ultraviolet",30000000,31070211,1070211,"Profitable",1,2006-03-03,2006,"Action/Adventure",87,4.8,458,"na"
"1133","Assault on Precinct 13",30000000,35294470,5294470,"Profitable",1,2005-01-19,2005,"Thriller/Mystery/Horror",109,6,311,"na"
"1134","Love & Other Drugs",30000000,102820008,72820008,"Profitable",1,2010-11-22,2010,"Drama",112,6.6,1233,"holiday"
"1135","88 Minutes",30000000,16930884,-13069116,"Not Profitable",0,2007-02-14,2007,"Crime",108,5.7,313,"na"
"1136","North Country",35000000,25224242,-9775758,"Not Profitable",0,2005-02-12,2005,"Drama",126,6.8,125,"na"
"1137","The Whole Ten Yards",40000000,26155781,-13844219,"Not Profitable",0,2004-04-07,2004,"Comedy",98,5.5,278,"na"
"1138","Pride and Glory",30000000,31148328,1148328,"Profitable",1,2008-09-09,2008,"Drama",130,6.3,240,"na"
"1139","The Cave",30000000,15007991,-14992009,"Not Profitable",0,2005-08-25,2005,"Action/Adventure",97,5.1,202,"summer"
"1140","Alex & Emma",30000000,15368897,-14631103,"Not Profitable",0,2003-06-16,2003,"Comedy",96,5,68,"summer"
"1141","Wicker Park",30000000,13001257,-16998743,"Not Profitable",0,2004-09-03,2004,"Drama",114,6.7,157,"na"
"1142","Fright Night",17000000,24922237,7922237,"Profitable",1,2011-08-18,2011,"Comedy",106,6,603,"summer"
"1143","The New World",30000000,30536013,536013,"Profitable",1,2005-12-25,2005,"Drama",135,6.4,330,"holiday"
"1144","Godsend",25000000,30114487,5114487,"Profitable",1,2004-04-30,2004,"Drama",102,4.7,114,"na"
"1145","Hoodwinked Too! Hood VS. Evil",30000000,13521829,-16478171,"Not Profitable",0,2011-04-29,2011,"Comedy",86,4.8,131,"na"
"1146","An Unfinished Life",30000000,18618284,-11381716,"Not Profitable",0,2005-09-09,2005,"Drama",108,6.7,161,"na"
"1147","The Imaginarium of Doctor Parnassus",30000000,64352607,34352607,"Profitable",1,2009-10-01,2009,"Action/Adventure",123,6.3,869,"na"
"1148","Barney's Version",30000000,8454301,-21545699,"Not Profitable",0,2010-10-26,2010,"Drama",134,7.2,129,"na"
"1149","Runner Runner",30000000,62616646,32616646,"Profitable",1,2013-09-24,2013,"Drama",91,5.5,543,"na"
"1150","Antitrust",30000000,18195610,-11804390,"Not Profitable",0,2001-01-12,2001,"Drama",108,5.8,153,"na"
"1151","Miss Potter",30000000,35078241,5078241,"Profitable",1,2006-12-03,2006,"Drama",92,6.3,141,"holiday"
"1152","DOA: Dead or Alive",21000000,480314,-20519686,"Not Profitable",0,2006-09-07,2006,"Action/Adventure",87,5,205,"na"
"1153","The Assassination of Jesse James by the Coward Robert Ford",30000000,14711793,-15288207,"Not Profitable",0,2007-09-02,2007,"Drama",160,7,776,"na"
"1154","Machine Gun Preacher",30000000,2527904,-27472096,"Not Profitable",0,2011-09-23,2011,"Action/Adventure",129,6.4,286,"na"
"1155","Sausage Party",19000000,140752617,121752617,"Profitable",1,2016-07-11,2016,"Comedy",83,5.6,2238,"summer"
"1156","Pitch Perfect 2",29000000,287506194,258506194,"Profitable",1,2015-05-07,2015,"Comedy",115,6.8,1940,"na"
"1157","Walk the Line",28000000,186438883,158438883,"Profitable",1,2005-09-13,2005,"Drama",136,7.3,718,"na"
"1158","Keeping the Faith",30000000,37036004,7036004,"Profitable",1,2000-04-14,2000,"Comedy",127,5.9,159,"na"
"1159","Confessions of a Dangerous Mind",30000000,33013805,3013805,"Profitable",1,2002-12-30,2002,"Drama",113,6.6,275,"holiday"
"1160","Serving Sara",29000000,16930185,-12069815,"Not Profitable",0,2002-08-20,2002,"Comedy",100,5,85,"summer"
"1161","The Boss",29000000,78636257,49636257,"Profitable",1,2016-04-07,2016,"Comedy",91,5.5,431,"na"
"1162","Seed of Chucky",12000000,24829644,12829644,"Profitable",1,2004-11-11,2004,"Drama",87,4.9,287,"holiday"
"1163","The Jacket",29000000,21126225,-7873775,"Not Profitable",0,2005-03-04,2005,"Drama",103,6.8,455,"na"
"1164","Straight Outta Compton",28000000,201634991,173634991,"Profitable",1,2015-08-13,2015,"Drama",147,7.7,1355,"summer"
"1165","Along Came a Spider",60000000,105178561,45178561,"Profitable",1,2001-04-06,2001,"Action/Adventure",104,6.1,400,"na"
"1166","Florence Foster Jenkins",29000000,48902953,19902953,"Profitable",1,2016-05-06,2016,"Drama",110,6.6,392,"na"
"1167","Once Upon a Time in Mexico",29000000,98185582,69185582,"Profitable",1,2003-09-11,2003,"Action/Adventure",102,6.2,594,"na"
"1168","Role Models",28000000,92380927,64380927,"Profitable",1,2008-02-03,2008,"Comedy",99,6.4,564,"na"
"1169","The Big Short",28000000,133346506,105346506,"Profitable",1,2015-12-11,2015,"Drama",130,7.3,2607,"holiday"
"1170","Miracle",28000000,64445708,36445708,"Profitable",1,2004-02-06,2004,"Drama",135,7,159,"na"
"1171","Dawn of the Dead",28000000,102356381,74356381,"Profitable",1,2004-03-19,2004,"Action/Adventure",101,6.8,1016,"na"
"1172","The Wedding Planner",35000000,94728529,59728529,"Profitable",1,2001-01-26,2001,"Comedy",103,5.5,427,"na"
"1173","The Royal Tenenbaums",21000000,71441250,50441250,"Profitable",1,2001-10-05,2001,"Drama",110,7.4,1286,"na"
"1174","Identity",30000000,90259536,60259536,"Profitable",1,2003-04-25,2003,"Thriller/Mystery/Horror",90,7.1,1061,"na"
"1175","Last Vegas",28000000,134402450,106402450,"Profitable",1,2013-10-31,2013,"Comedy",105,6.4,799,"na"
"1176","Serendipity",28000000,77516304,49516304,"Profitable",1,2001-10-05,2001,"Comedy",90,6.6,521,"na"
"1177","Zoolander",28000000,60780981,32780981,"Profitable",1,2001-09-28,2001,"Comedy",89,6.1,1337,"na"
"1178","Safe Haven",28000000,97594140,69594140,"Profitable",1,2013-02-07,2013,"Romance",115,6.9,823,"na"
"1179","No Reservations",28000000,92601050,64601050,"Profitable",1,2007-07-25,2007,"Comedy",104,6.1,327,"summer"
"1180","Kick-Ass",28000000,96188903,68188903,"Profitable",1,2010-03-22,2010,"Action/Adventure",117,7.1,4645,"na"
"1181","30 Minutes or Less",28000000,40547440,12547440,"Profitable",1,2011-08-11,2011,"Comedy",83,5.6,531,"summer"
"1182","Dracula 2000",28000000,33000337,5000337,"Profitable",1,2000-12-22,2000,"Thriller/Mystery/Horror",99,4.6,148,"holiday"
"1183","Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,100654149,72654149,"Profitable",1,2014-10-08,2014,"Comedy",81,6.1,493,"na"
"1184","Pride & Prejudice",28000000,121147947,93147947,"Profitable",1,2005-09-16,2005,"Drama",135,7.7,1358,"na"
"1185","3 Days to Kill",28000000,52597999,24597999,"Profitable",1,2014-02-14,2014,"Drama",113,6,883,"na"
"1186","We Own the Night",21000000,54926886,33926886,"Profitable",1,2007-05-25,2007,"Drama",117,6.5,323,"na"
"1187","Just My Luck",28000000,38159905,10159905,"Profitable",1,2006-05-12,2006,"Drama",103,5.8,491,"na"
"1188","The Spy Next Door",28000000,45236543,17236543,"Profitable",1,2010-01-15,2010,"Comedy",94,5.5,345,"na"
"1189","Ghosts of Mars",28000000,14010832,-13989168,"Not Profitable",0,2001-08-24,2001,"Action/Adventure",98,4.8,296,"summer"
"1190","Our Brand Is Crisis",28000000,7002261,-20997739,"Not Profitable",0,2015-09-11,2015,"Drama",108,5.8,195,"na"
"1191","Pride and Prejudice and Zombies",28000000,16374328,-11625672,"Not Profitable",0,2016-02-04,2016,"Comedy",108,5.5,640,"na"
"1192","How to Lose Friends & Alienate People",27000000,17286299,-9713701,"Not Profitable",0,2008-10-02,2008,"Drama",110,6.2,244,"na"
"1193","Kick-Ass 2",28000000,60700000,32700000,"Profitable",1,2013-07-17,2013,"Action/Adventure",103,6.3,2224,"summer"
"1194","Brick Mansions",28000000,68896829,40896829,"Profitable",1,2014-04-22,2014,"Drama",90,5.7,615,"na"
"1195","Knocked Up",30000000,219076518,189076518,"Profitable",1,2007-06-01,2007,"Drama",129,6.2,1214,"summer"
"1196","My Sister's Keeper",30000000,95714875,65714875,"Profitable",1,2009-06-26,2009,"Drama",109,7.1,598,"summer"
"1197","Welcome Home Roscoe Jenkins",35000000,43650785,8650785,"Profitable",1,2008-02-08,2008,"Drama",114,5.7,57,"na"
"1198","Notes on a Scandal",15000000,49469904,34469904,"Profitable",1,2006-12-25,2006,"Drama",92,6.9,235,"holiday"
"1199","Rendition",27500000,24748670,-2751330,"Not Profitable",0,2007-09-07,2007,"Drama",120,6.2,205,"na"
"1200","The Sisterhood of the Traveling Pants 2",27000000,44352417,17352417,"Profitable",1,2008-08-06,2008,"Drama",117,6,238,"summer"
"1201","About a Boy",27000000,129000000,102000000,"Profitable",1,2002-04-26,2002,"Drama",101,6.6,607,"na"
"1202","Lucky Number Slevin",27000000,56308881,29308881,"Profitable",1,2006-02-24,2006,"Drama",110,7.4,1323,"na"
"1203","Anonymous",30000000,15395087,-14604913,"Not Profitable",0,2011-10-21,2011,"Drama",130,6.3,288,"na"
"1204","Case 39",27000000,29000000,2000000,"Profitable",1,2009-08-13,2009,"Thriller/Mystery/Horror",109,6.1,563,"summer"
"1205","Suspect Zero",27000000,13000000,-14000000,"Not Profitable",0,2004-08-27,2004,"Crime",99,5.5,98,"summer"
"1206","Spy Kids: All the Time in the World",27000000,85564310,58564310,"Profitable",1,2011-08-18,2011,"Comedy",89,4.4,222,"summer"
"1207","Money Monster",27000000,93282604,66282604,"Profitable",1,2016-05-12,2016,"Thriller/Mystery/Horror",98,6.5,1068,"na"
"1208","Mindhunters",27000000,21148829,-5851171,"Not Profitable",0,2004-05-07,2004,"Crime",106,6.3,333,"na"
"1209","What Just Happened",25000000,6673422,-18326578,"Not Profitable",0,2008-10-17,2008,"Drama",104,5.2,127,"na"
"1210","Paul Blart: Mall Cop",26000000,183293131,157293131,"Profitable",1,2009-01-15,2009,"Comedy",91,5.2,788,"na"
"1211","Freaky Friday",26000000,110230332,84230332,"Profitable",1,2003-08-03,2003,"Comedy",97,6,879,"summer"
"1212","The 40 Year Old Virgin",26000000,109449237,83449237,"Profitable",1,2005-08-11,2005,"Comedy",116,6.2,1983,"summer"
"1213","A Walk Among the Tombstones",28000000,53181600,25181600,"Profitable",1,2014-09-18,2014,"Drama",113,6.2,1131,"na"
"1214","Pineapple Express",27000000,101624843,74624843,"Profitable",1,2008-08-06,2008,"Comedy",111,6.6,1148,"summer"
"1215","Open Range",22000000,68296293,46296293,"Profitable",1,2003-08-29,2003,"Western",139,7,262,"summer"
"1216","Red Eye",26000000,57891803,31891803,"Profitable",1,2005-08-04,2005,"Thriller/Mystery/Horror",85,6.2,455,"summer"
"1217","Final Destination 2",26000000,90426405,64426405,"Profitable",1,2003-01-31,2003,"Thriller/Mystery/Horror",90,5.9,1023,"na"
"1218","O Brother, Where Art Thou?",26000000,71868327,45868327,"Profitable",1,2000-08-30,2000,"Comedy",106,7.3,1112,"summer"
"1219","Legion",26000000,67918658,41918658,"Profitable",1,2010-01-21,2010,"Thriller/Mystery/Horror",100,5.2,629,"na"
"1220","Pain & Gain",25000000,86175291,61175291,"Profitable",1,2013-04-18,2013,"Action/Adventure",130,6.1,1573,"na"
"1221","Clockstoppers",26000000,38793283,12793283,"Profitable",1,2002-03-17,2002,"Action/Adventure",94,4.9,89,"na"
"1222","Brothers",26000000,43318349,17318349,"Profitable",1,2009-01-27,2009,"Drama",104,6.8,633,"na"
"1223","Agent Cody Banks 2: Destination London",26000000,28818995,2818995,"Profitable",1,2004-12-03,2004,"Comedy",100,5.2,144,"holiday"
"1224","New Year's Eve",56000000,142044638,86044638,"Profitable",1,2011-12-08,2011,"Comedy",118,5.7,718,"holiday"
"1225","Original Sin",42000000,35402320,-6597680,"Not Profitable",0,2001-08-03,2001,"Drama",118,5.8,198,"summer"
"1226","The Raven",26000000,29657751,3657751,"Profitable",1,2012-03-09,2012,"Crime",111,6.1,426,"na"
"1227","Welcome to Mooseport",30000000,14000000,-16000000,"Not Profitable",0,2004-02-24,2004,"Comedy",110,4.8,54,"na"
"1228","Self/less",26000000,30523226,4523226,"Profitable",1,2015-07-10,2015,"Sci-fi/Fantasy",116,6.3,1091,"summer"
"1229","The Constant Gardener",25000000,82466670,57466670,"Profitable",1,2005-08-31,2005,"Drama",129,6.8,417,"summer"
"1230","The Passion of the Christ",30000000,611899420,581899420,"Profitable",1,2004-02-25,2004,"Drama",127,6.9,864,"na"
"1231","Gran Torino",33000000,269958228,236958228,"Profitable",1,2008-12-09,2008,"Drama",116,7.8,3086,"holiday"
"1232","W.",25100000,29506464,4406464,"Profitable",1,2008-10-17,2008,"Drama",131,6.1,143,"na"
"1233","Taken",25000000,226830568,201830568,"Profitable",1,2008-02-18,2008,"Action/Adventure",93,7.2,4369,"na"
"1234","The Best of Me",26000000,35926213,9926213,"Profitable",1,2014-10-16,2014,"Drama",117,7.2,765,"na"
"1235","The Help",25000000,124272124,99272124,"Profitable",1,2011-08-09,2011,"Drama",146,7.8,1910,"summer"
"1236","The Fifth Estate",28000000,8555008,-19444992,"Not Profitable",0,2013-10-11,2013,"Drama",128,5.7,364,"na"
"1237","Freddy vs. Jason",30000000,114908830,84908830,"Profitable",1,2003-08-15,2003,"Thriller/Mystery/Horror",97,5.8,594,"summer"
"1238","Jimmy Neutron: Boy Genius",25000000,80936232,55936232,"Profitable",1,2001-12-21,2001,"Comedy",83,5.6,231,"holiday"
"1239","Cloverfield",25000000,170764026,145764026,"Profitable",1,2008-01-15,2008,"Action/Adventure",85,6.4,2251,"na"
"1240","No Country for Old Men",25000000,171600000,146600000,"Profitable",1,2007-11-08,2007,"Drama",122,7.7,3003,"holiday"
"1241","Ride Along",25000000,153997819,128997819,"Profitable",1,2014-01-07,2014,"Comedy",99,6.1,853,"na"
"1242","Bridget Jones's Diary",25000000,281929795,256929795,"Profitable",1,2001-04-13,2001,"Drama",97,6.5,1356,"na"
"1243","Chocolat",25000000,152500343,127500343,"Profitable",1,2000-12-14,2000,"Drama",121,6.8,951,"holiday"
"1244","Legally Blonde 2: Red, White & Blonde",45000000,124914842,79914842,"Profitable",1,2003-07-02,2003,"Comedy",95,5.1,377,"summer"
